totalJSHeapSize,jsHeapSizeLimit,usedJSHeapSize
9514704,2181038080,8514632
9549696,2181038080,8562104
9584688,2181038080,8609576
9658592,2181038080,8695960
9720304,2181038080,8770152
9755296,2181038080,8817624
9790288,2181038080,8865096
9825280,2181038080,8912568
9860272,2181038080,8960040
9895264,2181038080,9007512
9930256,2181038080,9054984
10009192,2181038080,9146400
10156416,2181038080,9307736
10191408,2181038080,9355208
9279192,2181038080,8205152
9314992,2181038080,8255464
9552200,2181038080,8506104
9646504,2181038080,8614328
9681496,2181038080,8661768
9716488,2181038080,8709208
9751480,2181038080,8757088
9786472,2181038080,8804528
9821464,2181038080,8851968
9856456,2181038080,8899408
9891448,2181038080,8947864
9965352,2181038080,9034216
10027064,2181038080,9108376
10062056,2181038080,9155848
10097048,2181038080,9203320
10132040,2181038080,9250792
10167040,2181038080,9298272
10202032,2181038080,9345744
10237040,2181038080,9393232
9295744,2181038080,8242272
9358264,2181038080,8319304
9393256,2181038080,8368984
9429032,2181038080,8419192
9464024,2181038080,8466664
9499016,2181038080,8514136
9534008,2181038080,8561608
9569000,2181038080,8609080
9629384,2181038080,8681944
9665240,2181038080,8730280
9700232,2181038080,8777752
9735224,2181038080,8825224
9776440,2181038080,8883856
9805208,2181038080,8920216
9840200,2181038080,8967688
9875200,2181038080,9015168
9935592,2181038080,9088040
9297240,2181038080,8240904
9333080,2181038080,8291256
9368072,2181038080,8338760
9403064,2181038080,8386232
9438056,2181038080,8433704
9473048,2181038080,8481176
9508040,2181038080,8528648
9568464,2181038080,8601552
9604320,2181038080,8649888
9639312,2181038080,8697360
9674304,2181038080,8744832
9709296,2181038080,8792304
9744288,2181038080,8839776
9779280,2181038080,8888008
9814272,2181038080,8935480
9884704,2181038080,9018392
10015768,2181038080,9163568
9296936,2181038080,8266696
9332744,2181038080,8317016
9365808,2181038080,8362568
9533376,2181038080,8542616
9591584,2181038080,8614744
9626576,2181038080,8662184
9661584,2181038080,8709696
9696576,2181038080,8760848
9731568,2181038080,8808288
9766560,2181038080,8855728
9801552,2181038080,8903168
9836544,2181038080,8950608
